Servo x	Yellow x	Green x
-0.0181	0.1353	0.0118
-0.0151	0.1066	-0.0196
-0.0151	0.0767	-0.0510
-0.0123	0.0463	-0.0821
-0.0123	0.0152	-0.1122
-0.0094	-0.0159	-0.1414
-0.0094	-0.0471	-0.1691
-0.0049	-0.0774	-0.1951
-0.0049	-0.1071	-0.2193
-0.0010	-0.1355	-0.2414
-0.0010	-0.1625	-0.2610
0.0024	-0.1875	-0.2781
0.0024	-0.2107	-0.2928
0.0063	-0.2316	-0.3044
0.0063	-0.2495	-0.3129
0.0107	-0.2649	-0.3183
0.0107	-0.2774	-0.3205
0.0134	-0.2867	-0.3198
0.0134	-0.2928	-0.3156
0.0161	-0.2955	-0.3085
0.0161	-0.2950	-0.2985
0.0185	-0.2914	-0.2855
0.0185	-0.2845	-0.2696
0.0197	-0.2745	-0.2512
0.0197	-0.2612	-0.2306
0.0200	-0.2453	-0.2071
0.0200	-0.2267	-0.1816
0.0195	-0.2056	-0.1546
0.0195	-0.1821	-0.1257
0.0183	-0.1568	-0.0958
0.0183	-0.1296	-0.0649
0.0164	-0.1010	-0.0333
0.0164	-0.0713	-0.0017
0.0131	-0.0409	0.0299
0.0131	-0.0098	0.0610
0.0103	0.0213	0.0914
0.0103	0.0524	0.1208
0.0067	0.0828	0.1485
0.0067	0.1125	0.1747
0.0015	0.1412	0.1987
0.0015	0.1681	0.2203
-0.0020	0.1936	0.2392
-0.0020	0.2169	0.2553
-0.0058	0.2379	0.2686
-0.0058	0.2566	0.2786
-0.0099	0.2725	0.2855
-0.0099	0.2855	0.2889
-0.0131	0.2958	0.2889
-0.0131	0.3026	0.2855
-0.0158	0.3066	0.2791
-0.0158	0.3073	0.2693
-0.0183	0.3046	0.2566
-0.0183	0.2990	0.2409
-0.0194	0.2904	0.2225
-0.0194	0.2786	0.2017
-0.0200	0.2639	0.1782
-0.0200	0.2465	0.1529
-0.0195	0.2267	0.1260
-0.0195	0.2044	0.0973
-0.0185	0.1799	0.0674
-0.0185	0.1534	0.0368
-0.0169	0.1255	0.0054
-0.0166	0.0961	-0.0257
-0.0134	0.0659	-0.0573
-0.0134	0.0348	-0.0880
-0.0107	0.0034	-0.1181
-0.0107	-0.0279	-0.1475
-0.0072	-0.0593	-0.1752
-0.0072	-0.0897	-0.2017
-0.0024	-0.1191	-0.2257
-0.0024	-0.1475	-0.2475
0.0015	-0.1740	-0.2671
0.0015	-0.1987	-0.2838
0.0053	-0.2213	-0.2977
0.0053	-0.2414	-0.3088
0.0107	-0.2583	-0.3166
0.0107	-0.2727	-0.3213
0.0127	-0.2843	-0.3225
0.0127	-0.2926	-0.3205
0.0155	-0.2977	-0.3156
0.0155	-0.2992	-0.3075
0.0181	-0.2977	-0.2963
0.0181	-0.2931	-0.2821
0.0193	-0.2850	-0.2651
0.0193	-0.2740	-0.2455
0.0199	-0.2600	-0.2237
0.0199	-0.2433	-0.1992
0.0197	-0.2240	-0.1733
0.0197	-0.2022	-0.1453
0.0188	-0.1782	-0.1159
0.0188	-0.1522	-0.0855
0.0172	-0.1245	-0.0544
0.0172	-0.0956	-0.0228
0.0141	-0.0654	0.0091
0.0141	-0.0346	0.0407
0.0111	-0.0032	0.0718
0.0111	0.0284	0.1019
0.0081	0.0598	0.1309
0.0077	0.0904	0.1581
0.0029	0.1203	0.1838
0.0029	0.1490	0.2073
-0.0010	0.1759	0.2281
-0.0010	0.2012	0.2463
-0.0058	0.2242	0.2617
-0.0058	0.2448	0.2742
-0.0090	0.2629	0.2833
-0.0090	0.2784	0.2889
-0.0123	0.2909	0.2914
-0.0123	0.3002	0.2904
-0.0148	0.3063	0.2862
-0.0148	0.3095	0.2789
-0.0179	0.3093	0.2681
-0.0179	0.3058	0.2544
-0.0191	0.2992	0.2377
-0.0193	0.2897	0.2183
-0.0198	0.2772	0.1965
-0.0198	0.2615	0.1723
-0.0198	0.2433	0.1463
-0.0198	0.2228	0.1184
-0.0188	0.1997	0.0890
-0.0188	0.1745	0.0586
-0.0174	0.1475	0.0272
-0.0174	0.1191	-0.0047
-0.0145	0.0894	-0.0363
-0.0145	0.0588	-0.0681
-0.0115	0.0274	-0.0990
-0.0115	-0.0039	-0.1296
-0.0081	-0.0355	-0.1590
-0.0081	-0.0667	-0.1865
-0.0039	-0.0970	-0.2125
-0.0039	-0.1262	-0.2362
0.0000	-0.1541	-0.2576
0.0000	-0.1806	-0.2764
0.0039	-0.2049	-0.2926
0.0039	-0.2269	-0.3056
0.0081	-0.2463	-0.3156
0.0086	-0.2632	-0.3222
0.0115	-0.2772	-0.3257
0.0115	-0.2879	-0.3257
0.0145	-0.2955	-0.3225
0.0145	-0.2997	-0.3164
0.0174	-0.3007	-0.3068
0.0174	-0.2985	-0.2941
0.0188	-0.2928	-0.2786
0.0188	-0.2838	-0.2605
0.0198	-0.2718	-0.2397
0.0198	-0.2568	-0.2164
0.0198	-0.2392	-0.1911
0.0198	-0.2186	-0.1639
0.0190	-0.1956	-0.1353
0.0190	-0.1706	-0.1051
0.0179	-0.1436	-0.0740
0.0179	-0.1149	-0.0424
0.0148	-0.0853	-0.0103
0.0148	-0.0544	0.0218
0.0119	-0.0228	0.0534
0.0119	0.0091	0.0843
0.0090	0.0409	0.1142
0.0090	0.0723	0.1429
0.0044	0.1029	0.1696
0.0044	0.1326	0.1946
0.0005	0.1608	0.2169
0.0005	0.1875	0.2370
-0.0044	0.2122	0.2541
-0.0044	0.2345	0.2686
-0.0081	0.2546	0.2796
-0.0081	0.2718	0.2874
-0.0111	0.2865	0.2919
-0.0111	0.2977	0.2931
-0.0141	0.3061	0.2909
-0.0141	0.3112	0.2852
-0.0172	0.3129	0.2767
-0.0172	0.3115	0.2647
-0.0187	0.3068	0.2497
-0.0187	0.2990	0.2321
-0.0197	0.2879	0.2120
-0.0197	0.2740	0.1889
-0.0199	0.2571	0.1639
-0.0199	0.2375	0.1372
-0.0193	0.2156	0.1088
-0.0193	0.1914	0.0789
-0.0181	0.1649	0.0483
-0.0179	0.1370	0.0167
-0.0155	0.1076	-0.0152
-0.0155	0.0769	-0.0471
-0.0127	0.0458	-0.0789
-0.0127	0.0140	-0.1098
-0.0094	-0.0179	-0.1402
-0.0094	-0.0497	-0.1691
-0.0049	-0.0809	-0.1963
-0.0049	-0.1113	-0.2218
-0.0015	-0.1404	-0.2448
-0.0015	-0.1679	-0.2654
0.0024	-0.1933	-0.2835
0.0024	-0.2171	-0.2987
0.0077	-0.2382	-0.3110
0.0077	-0.2566	-0.3200
0.0103	-0.2723	-0.3257
0.0107	-0.2850	-0.3281
0.0134	-0.2943	-0.3271
0.0134	-0.3004	-0.3230
0.0169	-0.3031	-0.3156
0.0169	-0.3026	-0.3051
0.0188	-0.2987	-0.2916
0.0188	-0.2914	-0.2750
0.0196	-0.2808	-0.2558
0.0196	-0.2674	-0.2340
0.0200	-0.2509	-0.2098
0.0200	-0.2318	-0.1835
0.0195	-0.2100	-0.1556
0.0195	-0.1860	-0.1262
0.0183	-0.1600	-0.0953
0.0183	-0.1321	-0.0637
0.0155	-0.1027	-0.0314
0.0155	-0.0723	0.0010
0.0131	-0.0412	0.0333
0.0131	-0.0096	0.0649
0.0090	0.0221	0.0961
0.0090	0.0534	0.1260
0.0053	0.0845	0.1541
0.0053	0.1147	0.1806
0.0020	0.1436	0.2051
0.0020	0.1710	0.2269
-0.0034	0.1968	0.2460
-0.0034	0.2208	0.2625
-0.0067	0.2421	0.2759
-0.0067	0.2612	0.2857
-0.0099	0.2776	0.2923
-0.0099	0.2911	0.2958
-0.0141	0.3017	0.2955
-0.0141	0.3090	0.2921
-0.0164	0.3132	0.2855
-0.0164	0.3144	0.2752
-0.0183	0.3122	0.2620
-0.0183	0.3068	0.2458
-0.0194	0.2982	0.2272
-0.0194	0.2867	0.2056
-0.0200	0.2720	0.1816
-0.0200	0.2546	0.1556
-0.0195	0.2345	0.1282
-0.0195	0.2120	0.0988
-0.0185	0.1872	0.0681
-0.0185	0.1605	0.0368
-0.0161	0.1321	0.0049
-0.0161	0.1019	-0.0272
-0.0138	0.0711	-0.0595
-0.0138	0.0395	-0.0914
-0.0107	0.0071	-0.1223
-0.0107	-0.0250	-0.1524
-0.0058	-0.0571	-0.1806
-0.0058	-0.0885	-0.2076
-0.0024	-0.1189	-0.2321
-0.0020	-0.1480	-0.2544
0.0010	-0.1755	-0.2742
0.0010	-0.2009	-0.2914
0.0063	-0.2242	-0.3053
0.0063	-0.2451	-0.3164
0.0099	-0.2632	-0.3242
0.0099	-0.2784	-0.3289
0.0127	-0.2904	-0.3298
0.0127	-0.2992	-0.3279
0.0161	-0.3046	-0.3225
0.0161	-0.3066	-0.3139
0.0181	-0.3051	-0.3022
0.0181	-0.3004	-0.2874
0.0194	-0.2923	-0.2700
0.0194	-0.2808	-0.2500
0.0200	-0.2664	-0.2272
0.0200	-0.2490	-0.2022
0.0197	-0.2291	-0.1752
0.0197	-0.2063	-0.1465
0.0187	-0.1816	-0.1164
0.0187	-0.1546	-0.0850
0.0166	-0.1262	-0.0529
0.0166	-0.0961	-0.0203
0.0141	-0.0652	0.0120
0.0141	-0.0333	0.0448
0.0099	-0.0012	0.0765
0.0099	0.0311	0.1073
0.0067	0.0630	0.1370
0.0067	0.0941	0.1649
0.0029	0.1245	0.1909
0.0029	0.1536	0.2149
-0.0020	0.1808	0.2360
-0.0020	0.2063	0.2546
-0.0053	0.2299	0.2700
-0.0053	0.2507	0.2823
-0.0090	0.2691	0.2914
-0.0090	0.2845	0.2970
-0.0134	0.2970	0.2990
-0.0134	0.3066	0.2977
-0.0155	0.3127	0.2931
-0.0155	0.3156	0.2850
-0.0176	0.3151	0.2737
-0.0176	0.3117	0.2590
-0.0195	0.3048	0.2419
-0.0195	0.2950	0.2218
-0.0200	0.2821	0.1992
-0.0200	0.2661	0.1740
-0.0198	0.2473	0.1473
-0.0198	0.2262	0.1186
-0.0190	0.2027	0.0882
-0.0190	0.1769	0.0571
-0.0166	0.1492	0.0250
-0.0166	0.1201	-0.0074
-0.0145	0.0897	-0.0397
-0.0141	0.0583	-0.0723
-0.0119	0.0262	-0.1041
-0.0119	-0.0061	-0.1353
-0.0072	-0.0382	-0.1647
-0.0072	-0.0703	-0.1926
-0.0034	-0.1012	-0.2188
-0.0034	-0.1313	-0.2428
0.0000	-0.1600	-0.2642
0.0000	-0.1867	-0.2830
0.0049	-0.2117	-0.2992
0.0049	-0.2343	-0.3120
0.0086	-0.2541	-0.3218
0.0086	-0.2713	-0.3284
0.0127	-0.2855	-0.3316
0.0127	-0.2963	-0.3313
0.0151	-0.3039	-0.3279
0.0151	-0.3080	-0.3213
0.0174	-0.3088	-0.3115
0.0174	-0.3061	-0.2985
0.0188	-0.2999	-0.2825
0.0190	-0.2906	-0.2639
0.0199	-0.2779	-0.2431
0.0199	-0.2622	-0.2196
0.0198	-0.2438	-0.1941
0.0198	-0.2225	-0.1666
0.0191	-0.1987	-0.1377
0.0191	-0.1728	-0.1073
0.0172	-0.1451	-0.0760
0.0172	-0.1157	-0.0439
0.0148	-0.0848	-0.0115
0.0148	-0.0532	0.0208
0.0111	-0.0208	0.0529
0.0111	0.0118	0.0841
0.0081	0.0444	0.1147
0.0081	0.0765	0.1438
0.0044	0.1078	0.1710
0.0044	0.1380	0.1965
0.0005	0.1666	0.2198
0.0005	0.1936	0.2404
-0.0044	0.2186	0.2585
-0.0044	0.2411	0.2737
-0.0077	0.2612	0.2855
-0.0077	0.2786	0.2941
-0.0111	0.2931	0.2992
-0.0111	0.3044	0.3007
-0.0148	0.3124	0.2987
-0.0151	0.3173	0.2936
-0.0172	0.3186	0.2848
-0.0172	0.3169	0.2725
-0.0187	0.3117	0.2573
-0.0187	0.3034	0.2389
-0.0199	0.2919	0.2179
-0.0199	0.2772	0.1943
-0.0199	0.2598	0.1684
-0.0199	0.2397	0.1404
-0.0193	0.2171	0.1108
-0.0193	0.1924	0.0796
-0.0174	0.1654	0.0478
-0.0174	0.1367	0.0147
-0.0151	0.1068	-0.0181
-0.0151	0.0757	-0.0515
-0.0123	0.0439	-0.0841
-0.0123	0.0113	-0.1159
-0.0086	-0.0211	-0.1470
-0.0086	-0.0534	-0.1764
-0.0049	-0.0850	-0.2041
-0.0049	-0.1159	-0.2299
-0.0010	-0.1456	-0.2531
-0.0010	-0.1733	-0.2742
0.0039	-0.1990	-0.2923
0.0039	-0.2228	-0.3075
0.0072	-0.2441	-0.3196
0.0072	-0.2625	-0.3281
0.0107	-0.2784	-0.3335
0.0107	-0.2911	-0.3355
0.0145	-0.3007	-0.3340
0.0145	-0.3071	-0.3291
0.0169	-0.3100	-0.3213
0.0169	-0.3095	-0.3100
0.0188	-0.3056	-0.2955
0.0188	-0.2987	-0.2784
0.0198	-0.2884	-0.2585
0.0198	-0.2750	-0.2362
0.0200	-0.2585	-0.2115
0.0200	-0.2394	-0.1848
0.0195	-0.2179	-0.1563
